,Region_name,Importace
166,FS_R_VentDC_Std,0.3852597736499307
627,FS_L_Temporalpole_ThckStd,0.38521918021776613
781,FS_R_Paracentral_GausCurv,0.38316040269956975
317,FS_CC_Central_Max,0.38269816909873283
861,FS_R_Superiorparietal_FoldInd,0.3807507269203195
71,FS_L_Putamen_Vox,0.37761480261389935
28,FS_L_Putamen_Vol,0.37755746397648493
480,FS_L_Postcentral_NumVert,0.37681565335609224
752,FS_L_Postcentral_GausCurv,0.3761043233675972
853,FS_R_Pericalcarine_FoldInd,0.372308948189201
157,FS_R_Pallidum_Mean,0.372055146767787
804,FS_L_Entorhinal_FoldInd,0.3712289168472432
891,FS_L_Precuneus_CurvInd,0.3696819612818456
164,FS_R_AccumbensArea_Std,0.36562276683416817
820,FS_L_Postcentral_FoldInd,0.36417783453974584
310,FS_CC_Posterior_Min,0.36115054876188457
712,FS_R_Parahippocampal_MeanCurv,0.3588159936285495
662,FS_R_Transversetemporal_ThckStd,0.3576280431194088
557,FS_L_Supramarginal_GrayVol,0.3553118422328048
418,FS_L_Superiorfrontal_Area,0.35481848615698447
823,FS_L_Precuneus_FoldInd,0.35298107096106984
346,FS_L_Precentral_Thck,0.3529730799375761
602,FS_L_Inferiorparietal_ThckStd,0.35292780090807974
682,FS_L_Parstriangularis_MeanCurv,0.3528745852406432
62,FS_CC_MidPosterior_Vol,0.3499657271567405
105,FS_CC_MidPosterior_Vox,0.3489072398526962
374,FS_R_Parsopercularis_Thck,0.3488367793587995
866,FS_R_Transversetemporal_FoldInd,0.34834737258436577
469,FS_L_Lateraloccipital_NumVert,0.34788914716709707
321,FS_CC_Anterior_Range,0.34716799019430084
691,FS_L_Superiorparietal_MeanCurv,0.34598893414378884
805,FS_L_Fusiform_FoldInd,0.3459710152084232
306,FS_OpticChiasm_Range,0.345612896323661
670,FS_L_Inferiorparietal_MeanCurv,0.3450915384112986
116,FS_L_ThalamusProper_Std,0.3450732089085174
778,FS_R_Medialorbitofrontal_GausCurv,0.34315530590020976
873,FS_L_Fusiform_CurvInd,0.34284031216163063
611,FS_L_Paracentral_ThckStd,0.3407786573134064
743,FS_L_Lingual_GausCurv,0.340564033051612
917,FS_R_Paracentral_CurvInd,0.3397552311808012
702,FS_R_Entorhinal_MeanCurv,0.3392372772455983
169,FS_R_ChoroidPlexus_Mean,0.33892896355808816
601,FS_L_Fusiform_ThckStd,0.33889459973866215
126,FS_4thVent_Std,0.3376926750870103
172,FS_5thVent_Std,0.3374271292970613
107,FS_CC_MidAnterior_Vox,0.3364757607111965
921,FS_R_Pericalcarine_CurvInd,0.335089129644502
463,FS_L_Cuneus_NumVert,0.3350336411072279
676,FS_L_Medialorbitofrontal_MeanCurv,0.3349297779728404
64,FS_CC_MidAnterior_Vol,0.3344296554744111
586,FS_R_Rostralanteriorcingulate_GrayVol,0.33209367571659704
605,FS_L_Lateraloccipital_ThckStd,0.331015072256939
336,FS_L_Medialorbitofrontal_Thck,0.3293342853252281
905,FS_R_Cuneus_CurvInd,0.3282126330773923
667,FS_L_Cuneus_MeanCurv,0.32547169059191683
887,FS_L_Pericalcarine_CurvInd,0.3251433368724462
139,FS_L_Vessel_Mean,0.3243270052667797
741,FS_L_Lateraloccipital_GausCurv,0.32295131670033234
355,FS_L_Temporalpole_Thck,0.3227571852959599
694,FS_L_Frontalpole_MeanCurv,0.32269352544065527
427,FS_R_Caudalanteriorcingulate_Area,0.32218328962192333
727,FS_R_Supramarginal_MeanCurv,0.3210291974383861
613,FS_L_Parsorbitalis_ThckStd,0.3175579156989166
378,FS_R_Postcentral_Thck,0.31747163008836116
276,FS_R_AccumbensArea_Range,0.3174430923850349
390,FS_R_Transversetemporal_Thck,0.31723879683238515
711,FS_R_Middletemporal_MeanCurv,0.31713538545688236
774,FS_R_Isthmuscingulate_GausCurv,0.3153311667395163
597,FS_L_Caudalanteriorcingulate_ThckStd,0.3151586504099369
112,FS_L_Cerebellum_WM_Std,0.31464421711733914
625,FS_L_Supramarginal_ThckStd,0.31420544841111725
855,FS_R_Posteriorcingulate_FoldInd,0.31396621586206436
104,FS_CC_Posterior_Vox,0.3127982779178757
61,FS_CC_Posterior_Vol,0.3122467681015003
554,FS_L_Superiorfrontal_GrayVol,0.31127920219973865
644,FS_R_Parahippocampal_ThckStd,0.3092430553818737
103,FS_OpticChiasm_Vox,0.30842275433034305
60,FS_OpticChiasm_Vol,0.3072699097985222
616,FS_L_Postcentral_ThckStd,0.30664666233692484
132,FS_L_Amygdala_Std,0.3063271623226924
119,FS_L_Putamen_Mean,0.30595404876329374
69,FS_L_ThalamusProper_Vox,0.30591741503469844
26,FS_L_ThalamusProper_Vol,0.30589705664186984
710,FS_R_Medialorbitofrontal_MeanCurv,0.3035788376826221
174,FS_WM_Hypointens_Std,0.3027923053454888
419,FS_L_Superiorparietal_Area,0.30263686843256166
37,FS_L_VentDC_Vol,0.30162622195633265
80,FS_L_VentDC_Vox,0.30112645176559094
365,FS_R_Inferiortemporal_Thck,0.29992955151785194
67,FS_L_Cerebellum_WM_Vox,0.29941548467470663
24,FS_L_Cerebellum_WM_Vol,0.2993668336947542
421,FS_L_Supramarginal_Area,0.2993386965120552
23,FS_L_InfLatVent_Vol,0.29894835773105893
359,FS_R_Caudalanteriorcingulate_Thck,0.29834635106620283
649,FS_R_Pericalcarine_ThckStd,0.29790057177617857
878,FS_L_Lateralorbitofrontal_CurvInd,0.29682001191552715
570,FS_R_Isthmuscingulate_GrayVol,0.2966249773092038
487,FS_L_Superiorparietal_NumVert,0.2966058007005859
396,FS_L_Entorhinal_Area,0.2958416047181616
184,FS_OpticChiasm_Std,0.29580096828807984
460,FS_L_Caudalanteriorcingulate_NumVert,0.29417378213047585
118,FS_L_Caudate_Std,0.294061988365768
898,FS_L_Frontalpole_CurvInd,0.2939552271932587
713,FS_R_Paracentral_MeanCurv,0.29223698986193847
609,FS_L_Middletemporal_ThckStd,0.28902101452710977
736,FS_L_Entorhinal_GausCurv,0.28883976832073793
653,FS_R_Precuneus_ThckStd,0.2883272894504058
635,FS_R_Fusiform_ThckStd,0.288134926754676
252,FS_R_Cerebellum_WM_Range,0.2880676037395209
